x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428979.08,4580771.66,10.0,0.0,6.226811172340169,0
428979.08,4580771.66,10.0,0.0,6.226811172340169,0.020943671
428979.08,4580771.66,9.99,0.0,6.227160238190568,3.157884673
428979.08,4580771.66,10.01,0.02,6.227509304040966,5.572349663
428979.08,4580771.66,10.03,0.04,6.227509304040966,5.806926751
428979.08,4580771.66,10.05,0.06,6.227509304040966,6.038420958
428979.08,4580771.66,10.08,0.09,6.227509304040966,6.268409944
428979.08,4580771.66,10.12,0.13,6.227509304040966,6.497361688
428979.07,4580771.66,10.23,0.24,6.227334771115768,6.758138501
428979.07,4580771.66,10.43,0.44,6.227334771115768,6.987954551
428979.06,4580771.67,10.71,0.72,6.227334771115768,7.216226312
428979.06,4580771.67,11.05,1.06,6.227334771115768,7.450284403
428979.06,4580771.67,11.44,1.45,6.227334771115768,7.68289188
428979.05,4580771.69,11.87,1.88,6.227334771115768,7.953146541
428979.05,4580771.69,12.34,2.35,6.227334771115768,8.188958308
428979.04,4580771.69,12.83,2.84,6.227334771115768,8.428946383
428979.04,4580771.69,13.33,3.34,6.224367711387377,8.667579741
428979.04,4580771.7,13.84,3.85,6.224367711387377,8.910085375
428979.04,4580771.7,14.35,4.36,6.224367711387377,9.172297927
428979.04,4580771.7,14.88,4.89,6.224542244312577,9.407670406
428979.04,4580771.7,15.42,5.43,6.224367711387377,9.632566462
428979.04,4580771.7,15.96,5.97,6.224367711387377,9.865304666
428979.04,4580771.7,16.5,6.51,6.224367711387377,10.097085108
428979.04,4580771.7,17.04,7.05,6.224367711387377,10.359407659
428979.04,4580771.7,17.56,7.57,6.224367711387377,10.592682567
428979.04,4580771.7,18.04,8.05,6.224367711387377,10.826542464
428979.04,4580771.7,18.46,8.47,6.224367711387377,11.05904446
428979.03,4580771.71,18.82,8.83,6.224367711387377,11.327697887
428979.03,4580771.71,19.11,9.12,6.224542244312577,11.563472131
