x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428819.09,4580772.17,10.0,0.0,6.226811172340169,0
428819.09,4580772.17,10.0,0.0,6.226811172340169,0.01995608
428819.09,4580772.17,9.99,0.0,6.227160238190568,3.152547541
428819.09,4580772.17,10.01,0.02,6.227509304040966,5.566311299
428819.09,4580772.17,10.03,0.04,6.227509304040966,5.800611774
428819.09,4580772.17,10.05,0.06,6.227509304040966,6.030243654
428819.09,4580772.17,10.08,0.09,6.227509304040966,6.259438099
428819.09,4580772.17,10.12,0.13,6.227509304040966,6.4873577
428819.09,4580772.17,10.23,0.24,6.227509304040966,6.748730808
428819.09,4580772.17,10.43,0.44,6.227334771115768,6.979047042
428819.08,4580772.18,10.71,0.72,6.227334771115768,7.207573586
428819.08,4580772.18,11.05,1.06,6.227334771115768,7.442774832
428819.08,4580772.18,11.44,1.45,6.227334771115768,7.675827204
428819.07,4580772.19,11.87,1.88,6.227334771115768,7.946214112
428819.07,4580772.19,12.34,2.35,6.227334771115768,8.182713417
428819.06,4580772.19,12.83,2.84,6.227334771115768,8.423244375
428819.06,4580772.19,13.33,3.34,6.224367711387377,8.661363198
428819.05,4580772.19,13.84,3.85,6.224367711387377,8.898830425
428819.05,4580772.2,14.35,4.36,6.224542244312577,9.161362211
428819.05,4580772.2,14.88,4.89,6.224542244312577,9.391714368
428819.05,4580772.2,15.42,5.43,6.224367711387377,9.617173861
428819.05,4580772.2,15.96,5.97,6.224367711387377,9.847559604
428819.05,4580772.2,16.5,6.51,6.224367711387377,10.082488258
428819.05,4580772.2,17.04,7.05,6.224367711387377,10.351984757
428819.05,4580772.2,17.56,7.57,6.224367711387377,10.589552855
428819.05,4580772.21,18.04,8.05,6.224367711387377,10.826197877
428819.05,4580772.21,18.46,8.47,6.224542244312577,11.058293796
428819.05,4580772.21,18.82,8.83,6.224542244312577,11.322051323
428819.05,4580772.21,19.11,9.12,6.224367711387377,11.552419141
