20m, 60m, 120m
0.6252293578,	0.6274418605,	0.6198156682
0.5701834862,	0.5669767442,	0.5806451613
0.4940366972,	0.5106976744,	0.5456221198
0.6211009174,	0.6274418605,	0.6165898618
0.5270642202,	0.5293023256,	0.5640552995
