x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
678527.5,4461637.63,60.1,0.0,6.221400651658986,0
678527.5,4461637.63,60.1,0.0,6.221400651658986,0.015641566
678527.5,4461637.63,60.09,0.0,6.2222733162849835,3.382748039
678527.5,4461637.61,60.09,0.0,6.2222733162849835,3.61632345
678527.51,4461637.61,60.09,0.0,6.222622382135383,5.050208926
678527.5,4461637.61,60.09,0.0,6.222622382135383,5.315202421
678527.51,4461637.61,60.09,0.0,6.222796915060583,6.016685643
678527.51,4461637.61,60.1,0.01,6.222971447985783,6.51965837
678527.5,4461637.61,60.15,0.06,6.222971447985783,6.749105927
678527.5,4461637.63,60.28,0.19,6.222796915060583,6.981274192
678527.49,4461637.63,60.5,0.41,6.222622382135383,7.214858561
678527.49,4461637.64,60.79,0.7,6.222622382135383,7.448692456
678527.48,4461637.64,61.14,1.05,6.222622382135383,7.718761659
678527.48,4461637.64,61.53,1.44,6.222796915060583,7.953011502
678527.47,4461637.64,61.96,1.87,6.222796915060583,8.185281278
678527.47,4461637.65,62.42,2.33,6.222796915060583,8.416305409
678527.46,4461637.65,62.9,2.81,6.222796915060583,8.648818833
678527.46,4461637.66,63.39,3.3,6.22698570526537,8.916352
678527.45,4461637.66,63.9,3.81,6.226811172340169,9.1517457
678527.45,4461637.66,64.42,4.33,6.226811172340169,9.385635296
678527.45,4461637.66,64.94,4.85,6.226811172340169,9.617985041
678527.44,4461637.66,65.48,5.39,6.22698570526537,9.849901995
678527.44,4461637.67,66.03,5.94,6.226811172340169,10.116289073
678527.44,4461637.67,66.57,6.48,6.22698570526537,10.351250707
678527.44,4461637.67,67.1,7.01,6.22698570526537,10.58527465
678527.44,4461637.67,67.61,7.52,6.22698570526537,10.817632982
678527.44,4461637.67,68.09,8.0,6.22698570526537,11.049557495
678527.44,4461637.67,68.52,8.43,6.22698570526537,11.316119773
678527.44,4461637.67,68.88,8.79,6.22698570526537,11.551247262
678527.44,4461637.67,69.18,9.09,6.22698570526537,11.785708438
