x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
429929.36,4580240.14,60.1,0.0,6.226811172340169,0
429929.36,4580240.14,60.1,0.0,6.226811172340169,0.027453256
429929.36,4580240.14,60.09,0.0,6.227160238190568,2.89850591
429929.36,4580240.14,60.1,0.01,6.227509304040966,6.019383529
429929.36,4580240.14,60.15,0.06,6.227509304040966,6.255815438
429929.36,4580240.14,60.29,0.2,6.227334771115768,6.493833483
429929.36,4580240.15,60.51,0.42,6.227334771115768,6.732301242
429929.35,4580240.15,60.81,0.72,6.227160238190568,7.002178293
429929.35,4580240.15,61.16,1.07,6.227334771115768,7.236920927
429929.34,4580240.15,61.56,1.47,6.227509304040966,7.46998273
429929.34,4580240.15,62.0,1.91,6.227509304040966,7.701558116
429929.34,4580240.16,62.46,2.37,6.227509304040966,7.931339935
429929.33,4580240.16,62.94,2.85,6.227334771115768,8.193145903
429929.33,4580240.16,63.43,3.34,6.224367711387377,8.424593289
429929.33,4580240.16,63.94,3.85,6.224193178462178,8.657485157
429929.33,4580240.17,64.46,4.37,6.224367711387377,8.891755776
429929.33,4580240.17,64.99,4.9,6.224542244312577,9.128010175
429929.32,4580240.17,65.53,5.44,6.224542244312577,9.398270506
429929.32,4580240.17,66.08,5.99,6.224542244312577,9.632535388
429929.32,4580240.17,66.62,6.53,6.224367711387377,9.865070185
429929.32,4580240.17,67.15,7.06,6.224367711387377,10.096256415
429929.32,4580240.18,67.66,7.57,6.224367711387377,10.36040099
429929.32,4580240.18,68.14,8.05,6.224367711387377,10.593601134
429929.32,4580240.18,68.56,8.47,6.224542244312577,10.829063562
429929.32,4580240.18,68.92,8.83,6.224542244312577,11.064375484
429929.32,4580240.18,69.21,9.12,6.224542244312577,11.299017916
429929.32,4580240.18,69.44,9.35,6.224542244312577,11.563701673
429929.32,4580240.18,69.6,9.51,6.224542244312577,11.794443593
