x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
430109.38,4580240.15,50.1,0.0,6.231523561320555,0
430109.38,4580240.15,50.1,0.0,6.231523561320555,0.091644861
430109.38,4580240.15,50.09,0.0,6.2322216930213505,3.227666929
430109.38,4580240.14,50.09,0.0,6.232396225946551,4.191982518
430109.38,4580240.15,50.09,0.0,6.232396225946551,4.426638196
430109.38,4580240.14,50.09,0.0,6.232570758871751,5.124657726
430109.38,4580240.14,50.1,0.01,6.232745291796951,6.324990155
430109.38,4580240.14,50.14,0.05,6.232745291796951,6.593051591
430109.37,4580240.15,50.28,0.19,6.232396225946551,6.826298039
430109.36,4580240.16,50.49,0.4,6.2322216930213505,7.05853917
430109.35,4580240.17,50.78,0.69,6.2322216930213505,7.291784487
430109.34,4580240.17,51.12,1.03,6.232396225946551,7.526592595
430109.34,4580240.19,51.51,1.42,6.232396225946551,7.793195379
430109.34,4580240.19,51.94,1.85,6.232570758871751,8.025446636
430109.33,4580240.2,52.4,2.31,6.232570758871751,8.258288923
430109.33,4580240.2,52.89,2.8,6.232396225946551,8.49280149
430109.32,4580240.21,53.39,3.3,6.225240376013375,8.726839867
430109.31,4580240.21,53.9,3.81,6.225414908938574,8.992228284
430109.31,4580240.21,54.41,4.32,6.225414908938574,9.225050993
430109.31,4580240.21,54.94,4.85,6.225414908938574,9.459391917
430109.31,4580240.22,55.47,5.38,6.225589441863773,9.693140136
430109.3,4580240.22,56.01,5.92,6.225589441863773,9.925519797
430109.3,4580240.22,56.55,6.46,6.225589441863773,10.191885851
430109.3,4580240.22,57.09,7.0,6.225414908938574,10.426409074
430109.3,4580240.23,57.61,7.52,6.225414908938574,10.659421933
430109.3,4580240.23,58.09,8.0,6.225414908938574,10.891939238
430109.3,4580240.23,58.52,8.43,6.225414908938574,11.126019398
430109.3,4580240.23,58.89,8.8,6.225414908938574,11.392895065
430109.29,4580240.23,59.18,9.09,6.225414908938574,11.626930625
