x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
431175.41,4580828.98,10.0,0.0,6.230825429619756,0
431175.41,4580828.98,10.0,0.0,6.230825429619756,0.167263427
431175.42,4580828.98,10.0,0.0,6.231174495470156,2.100242559
431175.41,4580828.98,10.0,0.0,6.231174495470156,2.33391221
431175.42,4580828.98,10.0,0.0,6.231349028395356,3.036149291
431175.42,4580828.98,10.01,0.01,6.231698094245754,5.432529307
431175.42,4580828.98,10.03,0.03,6.231872627170953,5.701036865
431175.42,4580828.98,10.05,0.05,6.231872627170953,5.935879038
431175.42,4580828.98,10.08,0.08,6.231872627170953,6.169127357
431175.42,4580828.98,10.12,0.12,6.231872627170953,6.402391575
431175.41,4580828.98,10.22,0.22,6.231698094245754,6.633002232
431175.4,4580828.99,10.42,0.42,6.231523561320555,6.897883689
431175.39,4580829.01,10.7,0.7,6.231349028395356,7.131661144
431175.38,4580829.01,11.04,1.04,6.231523561320555,7.36982025
431175.37,4580829.01,11.43,1.43,6.231523561320555,7.603571514
431175.37,4580829.02,11.86,1.86,6.231698094245754,7.835842538
431175.37,4580829.03,12.32,2.32,6.231523561320555,8.099603413
431175.36,4580829.03,12.81,2.81,6.231523561320555,8.334674882
431175.36,4580829.04,13.31,3.31,6.225065843088175,8.567286988
431175.35,4580829.04,13.82,3.82,6.225065843088175,8.800329143
431175.35,4580829.04,14.34,4.34,6.225240376013375,9.035026354
431175.34,4580829.05,14.86,4.86,6.225240376013375,9.302356885
431175.34,4580829.05,15.4,5.4,6.225414908938574,9.534823729
431175.34,4580829.05,15.94,5.94,6.225414908938574,9.766854309
431175.34,4580829.05,16.48,6.48,6.225414908938574,10.00071073
431175.34,4580829.05,17.02,7.02,6.225240376013375,10.235591444
431175.34,4580829.05,17.54,7.54,6.225240376013375,10.501931367
431175.33,4580829.05,18.02,8.02,6.225240376013375,10.733979637
431175.33,4580829.05,18.45,8.45,6.225240376013375,10.96716409
431175.33,4580829.05,18.81,8.81,6.225240376013375,11.20187331
431175.33,4580829.05,19.1,9.1,6.225240376013375,11.435969158
