x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
431375.4,4580829.21,10.0,0.0,6.230825429619756,0
431375.4,4580829.21,10.0,0.0,6.230825429619756,0.166966734
431375.41,4580829.21,10.0,0.0,6.231174495470156,2.100059772
431375.4,4580829.21,10.0,0.0,6.231174495470156,2.334650099
431375.41,4580829.21,10.0,0.0,6.231349028395356,3.032679241
431375.41,4580829.21,10.01,0.01,6.231698094245754,5.434444403
431375.41,4580829.21,10.03,0.03,6.231698094245754,5.699325662
431375.41,4580829.21,10.05,0.05,6.231872627170953,5.933258958
431375.41,4580829.21,10.08,0.08,6.231872627170953,6.168607104
431375.41,4580829.21,10.12,0.12,6.231872627170953,6.410390718
431375.4,4580829.21,10.23,0.23,6.231523561320555,6.642275782
431375.39,4580829.22,10.43,0.43,6.231349028395356,6.905396022
431375.39,4580829.23,10.71,0.71,6.231349028395356,7.134019259
431375.38,4580829.23,11.05,1.05,6.231523561320555,7.363972514
431375.37,4580829.24,11.44,1.44,6.231523561320555,7.595490114
431375.36,4580829.24,11.88,1.88,6.231698094245754,7.828825121
431375.36,4580829.25,12.34,2.34,6.231523561320555,8.096877063
431375.35,4580829.26,12.83,2.83,6.231523561320555,8.333554547
431375.35,4580829.26,13.33,3.33,6.225065843088175,8.571159522
431375.35,4580829.26,13.84,3.84,6.225065843088175,8.808031243
431375.35,4580829.27,14.35,4.35,6.225240376013375,9.042624081
431375.34,4580829.27,14.88,4.88,6.225240376013375,9.308614398
431375.34,4580829.27,15.42,5.42,6.225414908938574,9.539777711
431375.34,4580829.27,15.96,5.96,6.225414908938574,9.769311512
431375.34,4580829.27,16.5,6.5,6.225240376013375,9.999320351
431375.34,4580829.27,17.04,7.04,6.225240376013375,10.231177744
431375.34,4580829.27,17.55,7.55,6.225240376013375,10.498031178
431375.34,4580829.27,18.04,8.04,6.225240376013375,10.7331967
431375.33,4580829.27,18.46,8.46,6.225240376013375,10.970550929
431375.33,4580829.27,18.82,8.82,6.225240376013375,11.205831706
431375.33,4580829.27,19.11,9.11,6.225240376013375,11.440161905
