x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428780.68,4580769.67,10.0,0.0,6.238330345403331,0
428780.68,4580769.67,10.0,0.0,6.238330345403331,0.073742586
428780.68,4580769.67,10.02,0.02,6.2397266088049275,5.341024616
428780.68,4580769.67,10.04,0.04,6.2397266088049275,5.608689919
428780.68,4580769.67,10.07,0.07,6.2397266088049275,5.841418115
428780.68,4580769.67,10.1,0.1,6.2397266088049275,6.073086616
428780.68,4580769.67,10.17,0.17,6.239552075879729,6.305973277
428780.67,4580769.68,10.33,0.33,6.239377542954529,6.540578532
428780.65,4580769.69,10.57,0.57,6.23902847710413,6.809001871
428780.63,4580769.71,10.88,0.88,6.23902847710413,7.042525054
428780.63,4580769.71,11.25,1.25,6.23902847710413,7.274793982
428780.62,4580769.72,11.66,1.66,6.239203010029329,7.506632409
428780.61,4580769.74,12.11,2.11,6.239377542954529,7.739895807
428780.6,4580769.75,12.58,2.58,6.239377542954529,8.008175751
428780.59,4580769.76,13.08,3.08,6.239377542954529,8.242555827
428780.59,4580769.76,13.58,3.58,6.22698570526537,8.475818583
428780.58,4580769.76,14.1,4.1,6.22698570526537,8.707304029
428780.58,4580769.77,14.63,4.63,6.22698570526537,8.939710782
428780.58,4580769.77,15.16,5.16,6.22698570526537,9.206897628
428780.58,4580769.77,15.7,5.7,6.22698570526537,9.44205311
428780.58,4580769.77,16.24,6.24,6.22698570526537,9.675848276
428780.58,4580769.77,16.78,6.78,6.22698570526537,9.908017826
428780.58,4580769.77,17.3,7.3,6.22698570526537,10.139735786
428780.57,4580769.78,17.8,7.8,6.22698570526537,10.40641405
428780.57,4580769.78,18.26,8.26,6.22698570526537,10.641649297
428780.56,4580769.78,18.65,8.65,6.22698570526537,10.875927596
428780.56,4580769.78,18.98,8.98,6.22698570526537,11.108387347
428780.56,4580769.78,19.23,9.23,6.22698570526537,11.340686854
