x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
430309.4,4580240.35,10.0,0.0,6.2388539441789295,0
430309.4,4580240.35,10.0,0.0,6.2388539441789295,0.11465456
430309.4,4580240.35,10.01,0.01,6.240075674655327,5.157461682
430309.4,4580240.35,10.03,0.03,6.240075674655327,5.388047666
430309.4,4580240.35,10.05,0.05,6.240250207580526,5.620088207
430309.4,4580240.35,10.08,0.08,6.240250207580526,5.886849539
430309.4,4580240.35,10.12,0.12,6.240250207580526,6.122405372
430309.39,4580240.35,10.23,0.23,6.239901141730127,6.358360413
430309.38,4580240.37,10.43,0.43,6.239552075879729,6.59259704
430309.37,4580240.38,10.71,0.71,6.239552075879729,6.825041326
430309.35,4580240.39,11.05,1.05,6.239552075879729,7.088680302
430309.34,4580240.4,11.44,1.44,6.2397266088049275,7.321011217
430309.33,4580240.4,11.87,1.87,6.239901141730127,7.55508929
430309.32,4580240.41,12.33,2.33,6.239901141730127,7.790519735
430309.32,4580240.43,12.81,2.81,6.2397266088049275,8.025031719
430309.31,4580240.44,13.31,3.31,6.22698570526537,8.290568948
430309.3,4580240.44,13.82,3.82,6.22698570526537,8.522116451
430309.29,4580240.44,14.35,4.35,6.227160238190568,8.754741796
430309.29,4580240.45,14.87,4.87,6.227160238190568,8.989152809
430309.28,4580240.45,15.41,5.41,6.227160238190568,9.224248443
430309.28,4580240.45,15.95,5.95,6.227334771115768,9.491485532
430309.28,4580240.45,16.49,6.49,6.227160238190568,9.72318544
430309.28,4580240.45,17.02,7.02,6.227160238190568,9.954843166
430309.27,4580240.46,17.54,7.54,6.227160238190568,10.188261679
430309.27,4580240.46,18.02,8.02,6.227160238190568,10.423174744
430309.27,4580240.46,18.45,8.45,6.227160238190568,10.692050286
430309.27,4580240.46,18.81,8.81,6.227160238190568,10.925323429
430309.27,4580240.46,19.11,9.11,6.227160238190568,11.157120023
430309.27,4580240.46,19.33,9.33,6.227160238190568,11.388625511
430309.27,4580240.47,19.49,9.49,6.227160238190568,11.621603781
430309.27,4580240.47,19.61,9.61,6.227160238190568,11.889499033
430309.27,4580240.47,19.7,9.7,6.227160238190568,12.1247909
