x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
431275.41,4580828.73,10.0,0.0,6.230825429619756,0
431275.41,4580828.73,10.0,0.0,6.230825429619756,0.165279941
431275.42,4580828.73,10.0,0.0,6.231174495470156,2.102725092
431275.41,4580828.73,10.0,0.0,6.231174495470156,2.336457779
431275.42,4580828.73,10.0,0.0,6.231349028395356,3.028501524
431275.42,4580828.73,10.01,0.01,6.231698094245754,5.429074373
431275.42,4580828.73,10.03,0.03,6.231872627170953,5.695535069
431275.42,4580828.73,10.05,0.05,6.231872627170953,5.930872813
431275.42,4580828.73,10.08,0.08,6.231872627170953,6.167427003
431275.42,4580828.73,10.12,0.12,6.231872627170953,6.404466739
431275.41,4580828.73,10.22,0.22,6.231698094245754,6.638275135
431275.4,4580828.74,10.42,0.42,6.231349028395356,6.902639622
431275.39,4580828.76,10.7,0.7,6.231349028395356,7.132867145
431275.39,4580828.76,11.04,1.04,6.231523561320555,7.363749786
431275.38,4580828.76,11.43,1.43,6.231698094245754,7.596212401
431275.37,4580828.77,11.86,1.86,6.231698094245754,7.830296142
431275.37,4580828.78,12.32,2.32,6.231523561320555,8.099447116
431275.36,4580828.79,12.81,2.81,6.231523561320555,8.335641034
431275.36,4580828.79,13.3,3.3,6.225065843088175,8.570220205
431275.35,4580828.79,13.82,3.82,6.225065843088175,8.803253812
431275.35,4580828.79,14.33,4.33,6.225240376013375,9.034630588
431275.34,4580828.8,14.86,4.86,6.225240376013375,9.298176679
431275.34,4580828.8,15.39,5.39,6.225414908938574,9.530680686
431275.34,4580828.8,15.94,5.94,6.225414908938574,9.764581707
431275.34,4580828.8,16.48,6.48,6.225414908938574,10.000320399
431275.34,4580828.8,17.02,7.02,6.225240376013375,10.235987918
431275.34,4580828.8,17.53,7.53,6.225240376013375,10.502926896
431275.34,4580828.8,18.02,8.02,6.225240376013375,10.734964745
431275.34,4580828.8,18.45,8.45,6.225240376013375,10.966028235
431275.34,4580828.8,18.81,8.81,6.225240376013375,11.198559554
431275.34,4580828.8,19.1,9.1,6.225240376013375,11.432729797
