FID;FID_buildi;osm_id;name;type;Shape_Leng;startX;startY;endX;endY
60122;793;457532017.000000000000000; ;apartments;0.000261057203596;2.182684600114271;41.399498100157246;2.182890099698398;41.399659099487906
60123;794;457534738.000000000000000; ;apartments;0.000261057203596;2.182684600114271;41.399498100157246;2.182890099698398;41.399659099487906
60124;857;507830794.000000000000000; ;apartments;0.000261057203596;2.182684600114271;41.399498100157246;2.182890099698398;41.399659099487906
60125;893;543887491.000000000000000; ;apartments;0.000261057203596;2.182684600114271;41.399498100157246;2.182890099698398;41.399659099487906
60126;894;543887492.000000000000000; ;apartments;0.000261057203596;2.182684600114271;41.399498100157246;2.182890099698398;41.399659099487906
60127;33;185444041.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60128;34;185444055.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60129;77;217164651.000000000000000; ; ;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60130;416;355357453.000000000000000;Repsol;service;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60131;470;363552049.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60132;473;363553843.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60133;706;402753014.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60134;709;402753017.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60135;719;402753027.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60136;778;457098207.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60137;782;457335659.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60138;785;457505980.000000000000000;Hotel Acta Antives;hotel;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60139;787;457518882.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60140;788;457522136.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60141;789;457523864.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60142;793;457532017.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60143;794;457534738.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60144;857;507830794.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60145;877;543374600.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60146;878;543374601.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60147;893;543887491.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60148;1980;775788643.000000000000000; ; ;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60149;1981;775803760.000000000000000; ;apartments;0.000262852405519;2.182890099698398;41.399659099487906;2.183104900071157;41.399507599695994
60150;33;185444041.000000000000000; ;apartments;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60151;33;185444041.000000000000000; ;apartments;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60152;33;185444041.000000000000000; ;apartments;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
60153;34;185444055.000000000000000; ;apartments;0.000259671516413;2.183270600158096;41.399567599764964;2.183199999780186;41.399619499640266
60154;34;185444055.000000000000000; ;apartments;0.000259671516413;2.183199999780186;41.399619499640266;2.183253200075171;41.399661700327272
60155;34;185444055.000000000000000; ;apartments;0.000259671516413;2.183253200075171;41.399661700327272;2.183352399793478;41.399630000124432
