x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
678977.51,4461637.62,30.0,0.0,6.227509304040966,0
678977.51,4461637.62,30.0,0.0,6.227509304040966,0.121453904
678977.51,4461637.61,30.0,0.0,6.228207435741766,2.516828188
678977.51,4461637.62,30.0,0.0,6.228207435741766,2.749938435
678977.51,4461637.61,29.99,0.0,6.228381968666964,3.221504249
678977.51,4461637.61,30.0,0.01,6.229080100367763,5.624182897
678977.51,4461637.61,30.03,0.04,6.229080100367763,5.859321002
678977.51,4461637.61,30.05,0.06,6.229254633292962,6.131323225
678977.51,4461637.61,30.08,0.09,6.229254633292962,6.362855145
678977.51,4461637.61,30.11,0.12,6.229254633292962,6.592761584
678977.51,4461637.62,30.21,0.22,6.229080100367763,6.822693436
678977.51,4461637.62,30.4,0.41,6.228905567442562,7.053097393
678977.49,4461637.64,30.66,0.67,6.228731034517364,7.319078639
678977.48,4461637.65,31.0,1.01,6.228731034517364,7.554987244
678977.47,4461637.65,31.39,1.4,6.228905567442562,7.790493487
678977.47,4461637.66,31.82,1.83,6.229080100367763,8.02577135
678977.46,4461637.67,32.28,2.29,6.229080100367763,8.259400173
678977.45,4461637.67,32.75,2.76,6.228905567442562,8.524215493
678977.45,4461637.67,33.25,3.26,6.228032902816566,8.755823958
678977.44,4461637.68,33.75,3.76,6.228032902816566,8.989012317
678977.44,4461637.68,34.27,4.28,6.228032902816566,9.223904574
678977.44,4461637.69,34.8,4.81,6.228032902816566,9.458962398
678977.44,4461637.68,35.33,5.34,6.227858369891366,9.72529287
678977.44,4461637.68,35.88,5.89,6.227858369891366,9.956963993
678977.43,4461637.68,36.43,6.44,6.227858369891366,10.189317595
678977.43,4461637.68,36.96,6.97,6.228032902816566,10.423192384
678977.43,4461637.68,37.48,7.49,6.228032902816566,10.691404022
678977.42,4461637.68,37.96,7.97,6.228032902816566,10.925102735
678977.42,4461637.68,38.39,8.4,6.228032902816566,11.157225257
678977.42,4461637.68,38.76,8.77,6.228032902816566,11.38944091
678977.42,4461637.69,39.06,9.07,6.228032902816566,11.623333604
