x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
678577.53,4461637.38,30.0,0.0,6.227509304040966,0
678577.53,4461637.38,30.0,0.0,6.227509304040966,0.114884609
678577.53,4461637.37,30.0,0.0,6.228207435741766,2.513270991
678577.53,4461637.38,30.0,0.0,6.228207435741766,2.74863726
678577.53,4461637.37,29.99,0.0,6.228381968666964,3.217161954
678577.53,4461637.37,30.0,0.01,6.229080100367763,5.613884506
678577.53,4461637.37,30.03,0.04,6.229080100367763,5.847143338
678577.53,4461637.37,30.05,0.06,6.229254633292962,6.116074632
678577.53,4461637.37,30.08,0.09,6.229254633292962,6.350104571
678577.53,4461637.37,30.11,0.12,6.229254633292962,6.582755594
678577.53,4461637.38,30.2,0.21,6.229080100367763,6.814446942
678577.53,4461637.38,30.39,0.4,6.228905567442562,7.04766049
678577.51,4461637.39,30.66,0.67,6.228731034517364,7.315764067
678577.5,4461637.4,30.99,1.0,6.228731034517364,7.55011689
678577.49,4461637.4,31.38,1.39,6.228905567442562,7.782854684
678577.49,4461637.41,31.81,1.82,6.228905567442562,8.014665122
678577.48,4461637.41,32.27,2.28,6.228905567442562,8.247891601
678577.47,4461637.42,32.75,2.76,6.228905567442562,8.516047338
678577.47,4461637.42,33.24,3.25,6.228032902816566,8.750028068
678577.47,4461637.43,33.75,3.76,6.228032902816566,8.982364584
678577.47,4461637.43,34.27,4.28,6.228032902816566,9.214545842
678577.46,4461637.43,34.79,4.8,6.228032902816566,9.448446094
678577.46,4461637.43,35.33,5.34,6.228032902816566,9.716352828
678577.46,4461637.43,35.88,5.89,6.227858369891366,9.951539895
678577.45,4461637.43,36.42,6.43,6.227858369891366,10.183521681
678577.45,4461637.43,36.96,6.97,6.228032902816566,10.414469174
678577.45,4461637.43,37.47,7.48,6.228032902816566,10.679758233
678577.44,4461637.43,37.95,7.96,6.228032902816566,10.914062687
678577.44,4461637.43,38.39,8.4,6.228032902816566,11.149726416
678577.44,4461637.43,38.76,8.77,6.228032902816566,11.384328062
678577.44,4461637.44,39.06,9.07,6.228032902816566,11.617394132
