x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
678277.5,4461637.73,30.0,0.0,6.227509304040966,0
678277.5,4461637.73,30.0,0.0,6.227509304040966,0.127021733
678277.5,4461637.72,30.0,0.0,6.228207435741766,2.526440008
678277.5,4461637.73,30.0,0.0,6.228207435741766,2.762875687
678277.5,4461637.72,29.99,0.0,6.228381968666964,3.231537697
678277.5,4461637.72,30.0,0.01,6.229080100367763,5.627678844
678277.5,4461637.72,30.03,0.04,6.229080100367763,5.858994504
678277.5,4461637.72,30.05,0.06,6.229254633292962,6.125199968
678277.5,4461637.72,30.08,0.09,6.229254633292962,6.360074648
678277.5,4461637.72,30.11,0.12,6.229254633292962,6.595161713
678277.5,4461637.73,30.21,0.22,6.229080100367763,6.828973334
678277.5,4461637.73,30.4,0.41,6.228731034517364,7.061548801
678277.48,4461637.74,30.66,0.67,6.228731034517364,7.326274743
678277.47,4461637.75,31.0,1.01,6.228731034517364,7.559630008
678277.46,4461637.75,31.39,1.4,6.228905567442562,7.794510126
678277.46,4461637.77,31.82,1.83,6.228905567442562,8.028859825
678277.45,4461637.76,32.28,2.29,6.228905567442562,8.261620553
678277.44,4461637.76,32.75,2.76,6.228905567442562,8.5286024
678277.44,4461637.78,33.25,3.26,6.228032902816566,8.760016348
678277.44,4461637.78,33.75,3.76,6.228032902816566,8.992796343
678277.44,4461637.79,34.27,4.28,6.228032902816566,9.227247959
678277.43,4461637.79,34.8,4.81,6.228032902816566,9.46237373
678277.43,4461637.79,35.33,5.34,6.228032902816566,9.728730178
678277.43,4461637.8,35.88,5.89,6.228032902816566,9.960481007
678277.42,4461637.8,36.43,6.44,6.228032902816566,10.193985678
678277.42,4461637.79,36.96,6.97,6.228032902816566,10.428159983
678277.42,4461637.79,37.48,7.49,6.228032902816566,10.694182442
678277.41,4461637.79,37.96,7.97,6.228032902816566,10.927023694
678277.41,4461637.79,38.39,8.4,6.228032902816566,11.161279881
678277.41,4461637.8,38.76,8.77,6.228032902816566,11.39450041
678277.41,4461637.8,39.06,9.07,6.228032902816566,11.627514449
