x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428316.81,4581377.88,50.1,0.0,6.236235950300939,0
428316.81,4581377.88,50.1,0.0,6.236235950300939,2.48672E-4
428316.81,4581377.87,50.1,0.0,6.237108614926935,3.357457038
428316.82,4581377.87,50.1,0.0,6.237806746627735,5.766370827
428316.81,4581377.87,50.16,0.06,6.237632213702534,6.231946121
428316.8,4581377.88,50.3,0.2,6.237457680777335,6.465699216
428316.8,4581377.9,50.52,0.42,6.237108614926935,6.733517417
428316.78,4581377.92,50.81,0.71,6.237108614926935,6.967577598
428316.77,4581377.92,51.16,1.06,6.237108614926935,7.203202228
428316.76,4581377.93,51.55,1.45,6.237283147852136,7.440008472
428316.75,4581377.94,51.98,1.88,6.237457680777335,7.675660022
428316.75,4581377.94,52.45,2.35,6.237457680777335,7.942571429
428316.74,4581377.95,52.93,2.83,6.237457680777335,8.174736294
428316.73,4581377.95,53.43,3.33,6.226462106489771,8.405398767
428316.73,4581377.96,53.94,3.84,6.226462106489771,8.636900504
428316.72,4581377.97,54.46,4.36,6.226462106489771,8.902830516
428316.72,4581377.97,54.99,4.89,6.226462106489771,9.13756078
428316.71,4581377.97,55.52,5.42,6.226462106489771,9.373469441
428316.71,4581377.97,56.06,5.96,6.226462106489771,9.607847605
428316.71,4581377.97,56.6,6.5,6.226462106489771,9.840783783
428316.71,4581377.99,57.13,7.03,6.226462106489771,10.104676611
428316.71,4581377.99,57.65,7.55,6.226462106489771,10.336925555
428316.71,4581377.99,58.13,8.03,6.226462106489771,10.572460954
428316.7,4581377.99,58.55,8.45,6.226462106489771,10.805663883
428316.7,4581377.99,58.91,8.81,6.226462106489771,11.039247739
428316.7,4581377.99,59.2,9.1,6.226462106489771,11.305552272
428316.7,4581377.99,59.42,9.32,6.226462106489771,11.538274568
