x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428819.1,4580772.16,50.1,0.0,6.2309999625449555,0
428819.1,4580772.16,50.1,0.0,6.2309999625449555,0.133973443
428819.11,4580772.16,50.1,0.0,6.231174495470156,1.332123539
428819.1,4580772.16,50.1,0.0,6.231349028395356,1.564129505
428819.11,4580772.16,50.1,0.0,6.231523561320555,2.276460132
428819.11,4580772.16,50.15,0.05,6.232047160096152,6.614833314
428819.1,4580772.16,50.29,0.19,6.231872627170953,6.84937153
428819.09,4580772.17,50.51,0.41,6.231698094245754,7.084400312
428819.09,4580772.18,50.8,0.7,6.231698094245754,7.348770579
428819.08,4580772.18,51.15,1.05,6.231698094245754,7.578857896
428819.08,4580772.19,51.54,1.44,6.231872627170953,7.805694509
428819.07,4580772.19,51.98,1.88,6.232047160096152,8.03672185
428819.06,4580772.2,52.44,2.34,6.231872627170953,8.271641241
428819.05,4580772.2,52.91,2.81,6.231872627170953,8.535414992
428819.05,4580772.2,53.41,3.31,6.225240376013375,8.773464542
428819.05,4580772.21,53.92,3.82,6.225240376013375,9.01121252
428819.05,4580772.21,54.44,4.34,6.225414908938574,9.267832246
428819.05,4580772.21,54.97,4.87,6.225414908938574,9.50044579
428819.05,4580772.21,55.51,5.41,6.225414908938574,9.76578855
428819.04,4580772.21,56.05,5.95,6.225414908938574,9.994567581
428819.04,4580772.22,56.6,6.5,6.225414908938574,10.222733838
428819.04,4580772.22,57.13,7.03,6.225414908938574,10.451330936
428819.04,4580772.22,57.64,7.54,6.225414908938574,10.680131682
428819.04,4580772.22,58.11,8.01,6.225414908938574,10.944019122
428819.03,4580772.22,58.54,8.44,6.225414908938574,11.176902533
428819.03,4580772.22,58.9,8.8,6.225414908938574,11.411969259
428819.03,4580772.22,59.2,9.1,6.225414908938574,11.649875895
428819.03,4580772.22,59.43,9.33,6.225240376013375,11.88704558
