FID;FID_buildi;osm_id;name;type;startX;startY;endY;endX
1444;7;886662639.000000000000000; ; ;-0.353164800000000;39.540375200000000;39.540213199999997;-0.352866100000036
1445;16;886739583.000000000000000; ; ;-0.353267400000000;39.540578600000003;39.540488500000002;-0.353085699999999
1446;16;886739583.000000000000000; ; ;-0.353085700000000;39.540488500000002;39.540375200000000;-0.353164799999971
1447;16;886739583.000000000000000; ; ;-0.353164800000000;39.540375200000000;39.540213199999997;-0.352866100000036
1448;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.352599100000000;39.540315200000002;39.540614800000000;-0.352350600000016
1449;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.352350600000000;39.540614800000000;39.540467900000003;-0.352003900000018
1450;7;886662639.000000000000000; ; ;-0.352599100000000;39.540315200000002;39.540614800000000;-0.352350600000016
1451;7;886662639.000000000000000; ; ;-0.352350600000000;39.540614800000000;39.540467900000003;-0.352003900000018
1452;17;886739584.000000000000000; ; ;-0.352599100000000;39.540315200000002;39.540614800000000;-0.352350600000016
1453;17;886739584.000000000000000; ; ;-0.352350600000000;39.540614800000000;39.540467900000003;-0.352003900000018
1454;11;886662655.000000000000000; ;residential;-0.357794200000000;39.540444600000001;39.539864399999999;-0.358272599999997
1455;11;886662655.000000000000000; ;residential;-0.358272600000000;39.539864399999999;39.540015699999998;-0.358635700000019
1456;11;886662655.000000000000000; ;residential;-0.358635700000000;39.540015699999998;39.540595600000003;-0.358312099999979
1457;11;886662655.000000000000000; ;residential;-0.358312100000000;39.540595600000003;39.540629299999999;-0.358161100000008
1458;11;886662655.000000000000000; ;residential;-0.358161100000000;39.540629299999999;39.540444600000001;-0.357794200000027
1459;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.353863100000000;39.540691199999998;39.540093900000002;-0.354365199999994
1460;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.354365200000000;39.540093900000002;39.540232699999997;-0.354644600000019
1461;7;886662639.000000000000000; ; ;-0.353863100000000;39.540691199999998;39.540093900000002;-0.354365199999994
1462;7;886662639.000000000000000; ; ;-0.354365200000000;39.540093900000002;39.540232699999997;-0.354644600000019
1463;15;886739580.000000000000000; ; ;-0.353863100000000;39.540691199999998;39.540093900000002;-0.354365199999994
1464;15;886739580.000000000000000; ; ;-0.354365200000000;39.540093900000002;39.540232699999997;-0.354644600000019
1465;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.354644600000000;39.540232699999997;39.540824600000001;-0.354138299999961
1466;0;662608468.000000000000000;Asunción de Nuestra Señora;church;-0.354138300000000;39.540824600000001;39.540691199999998;-0.353863100000017
1467;7;886662639.000000000000000; ; ;-0.354644600000000;39.540232699999997;39.540824600000001;-0.354138299999961
1468;7;886662639.000000000000000; ; ;-0.354138300000000;39.540824600000001;39.540691199999998;-0.353863100000017
1469;15;886739580.000000000000000; ; ;-0.354644600000000;39.540232699999997;39.540824600000001;-0.354138299999961
1470;15;886739580.000000000000000; ; ;-0.354138300000000;39.540824600000001;39.540691199999998;-0.353863100000017
1471;11;886662655.000000000000000; ;residential;-0.356583500000000;39.540827999999998;39.540718099999999;-0.356660800000040
1472;11;886662655.000000000000000; ;residential;-0.356660800000000;39.540718099999999;39.540730400000001;-0.356698499999962
1473;11;886662655.000000000000000; ;residential;-0.356698500000000;39.540730400000001;39.540670200000001;-0.356725200000040
1474;11;886662655.000000000000000; ;residential;-0.356725200000000;39.540670200000001;39.540610200000003;-0.356583799999975
1475;11;886662655.000000000000000; ;residential;-0.356583800000000;39.540610200000003;39.540675999999998;-0.356535100000031
1476;11;886662655.000000000000000; ;residential;-0.356535100000000;39.540675999999998;39.540660500000001;-0.356495599999961
1477;11;886662655.000000000000000; ;residential;-0.356495600000000;39.540660500000001;39.540590700000003;-0.356542899999966
1478;11;886662655.000000000000000; ;residential;-0.356542900000000;39.540590700000003;39.540583200000000;-0.356584200000008
1479;11;886662655.000000000000000; ;residential;-0.356584200000000;39.540583200000000;39.540532399999996;-0.356612400000032
1480;11;886662655.000000000000000; ;residential;-0.356612400000000;39.540532399999996;39.540625900000002;-0.356829799999990
1481;11;886662655.000000000000000; ;residential;-0.356829800000000;39.540625900000002;39.540865400000001;-0.356664199999966
1482;64;891050342.000000000000000;Alqueria de Peix; ;-0.356583500000000;39.540827999999998;39.540718099999999;-0.356660800000040
1483;64;891050342.000000000000000;Alqueria de Peix; ;-0.356660800000000;39.540718099999999;39.540730400000001;-0.356698499999962
1484;64;891050342.000000000000000;Alqueria de Peix; ;-0.356698500000000;39.540730400000001;39.540670200000001;-0.356725200000040
1485;64;891050342.000000000000000;Alqueria de Peix; ;-0.356725200000000;39.540670200000001;39.540610200000003;-0.356583799999975
1486;64;891050342.000000000000000;Alqueria de Peix; ;-0.356583800000000;39.540610200000003;39.540675999999998;-0.356535100000031
1487;64;891050342.000000000000000;Alqueria de Peix; ;-0.356535100000000;39.540675999999998;39.540660500000001;-0.356495599999961
1488;64;891050342.000000000000000;Alqueria de Peix; ;-0.356495600000000;39.540660500000001;39.540590700000003;-0.356542899999966
1489;64;891050342.000000000000000;Alqueria de Peix; ;-0.356542900000000;39.540590700000003;39.540583200000000;-0.356584200000008
1490;64;891050342.000000000000000;Alqueria de Peix; ;-0.356584200000000;39.540583200000000;39.540532399999996;-0.356612400000032
1491;64;891050342.000000000000000;Alqueria de Peix; ;-0.356612400000000;39.540532399999996;39.540625900000002;-0.356829799999990
1492;64;891050342.000000000000000;Alqueria de Peix; ;-0.356829800000000;39.540625900000002;39.540865400000001;-0.356664199999966
1493;11;886662655.000000000000000; ;residential;-0.356664200000000;39.540865400000001;39.540827999999998;-0.356583500000039
1494;64;891050342.000000000000000;Alqueria de Peix; ;-0.356664200000000;39.540865400000001;39.540827999999998;-0.356583500000039
