x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428820.67,4580769.26,50.1,0.0,6.243042734383716,0
428820.67,4580769.26,50.1,0.0,6.243042734383716,0.003180958
428820.67,4580769.26,50.15,0.05,6.244613530710512,6.469934994
428820.66,4580769.28,50.29,0.19,6.244264464860113,6.701914556
428820.65,4580769.3,50.51,0.41,6.244089931934913,6.968734319
428820.62,4580769.31,50.8,0.7,6.243915399009714,7.203809412
428820.61,4580769.32,51.15,1.05,6.244089931934913,7.437627414
428820.61,4580769.33,51.55,1.45,6.244264464860113,7.669908632
428820.6,4580769.34,51.99,1.89,6.244264464860113,7.901890115
428820.58,4580769.35,52.45,2.35,6.244264464860113,8.168675304
428820.57,4580769.35,52.93,2.83,6.244264464860113,8.403795752
428820.56,4580769.37,53.42,3.32,6.227160238190568,8.637822319
428820.56,4580769.37,53.93,3.83,6.227160238190568,8.870306515
428820.55,4580769.38,54.45,4.35,6.227334771115768,9.101906797
428820.55,4580769.38,54.98,4.88,6.227509304040966,9.368209652
428820.54,4580769.38,55.52,5.42,6.227509304040966,9.60315312
428820.54,4580769.38,56.07,5.97,6.227509304040966,9.837993673
428820.54,4580769.39,56.61,6.51,6.227334771115768,10.071245245
428820.54,4580769.39,57.14,7.04,6.227334771115768,10.302911396
428820.54,4580769.39,57.65,7.55,6.227334771115768,10.568117058
428820.53,4580769.4,58.13,8.03,6.227334771115768,10.802140826
428820.53,4580769.4,58.56,8.46,6.227334771115768,11.037294001
428820.53,4580769.4,58.92,8.82,6.227334771115768,11.270941698
428820.52,4580769.4,59.21,9.11,6.227509304040966,11.503062608
