x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428940.68,4580769.51,50.1,0.0,6.243042734383716,0
428940.68,4580769.51,50.16,0.06,6.244613530710512,6.467748539
428940.67,4580769.52,50.3,0.2,6.244264464860113,6.70132309
428940.64,4580769.54,50.52,0.42,6.244089931934913,6.967679992
428940.63,4580769.55,50.81,0.71,6.244089931934913,7.200881327
428940.62,4580769.56,51.16,1.06,6.244089931934913,7.434483083
428940.61,4580769.58,51.56,1.46,6.244264464860113,7.667775271
428940.6,4580769.59,52.0,1.9,6.244264464860113,7.90144054
428940.59,4580769.6,52.46,2.36,6.244264464860113,8.167560451
428940.58,4580769.6,52.94,2.84,6.244264464860113,8.400946656
428940.57,4580769.61,53.43,3.33,6.227160238190568,8.634586164
428940.56,4580769.61,53.94,3.84,6.227334771115768,8.867798079
428940.55,4580769.62,54.46,4.36,6.227509304040966,9.101363242
428940.55,4580769.62,54.99,4.89,6.227509304040966,9.367733208
428940.55,4580769.62,55.53,5.43,6.227509304040966,9.601343152
428940.55,4580769.62,56.07,5.97,6.227334771115768,9.833987872
428940.55,4580769.63,56.62,6.52,6.227334771115768,10.068026597
428940.55,4580769.63,57.15,7.05,6.227334771115768,10.301816399
428940.54,4580769.63,57.66,7.56,6.227334771115768,10.567093264
428940.54,4580769.64,58.13,8.03,6.227334771115768,10.801358477
428940.54,4580769.64,58.56,8.46,6.227334771115768,11.034258219
428940.54,4580769.64,58.92,8.82,6.227334771115768,11.267900822
428940.54,4580769.64,59.21,9.11,6.227334771115768,11.501587414
