x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428066.82,4581377.89,50.1,0.0,6.236235950300939,0
428066.82,4581377.89,50.1,0.0,6.236235950300939,0.001483685
428066.82,4581377.87,50.1,0.0,6.237108614926935,3.358611619
428066.82,4581377.87,50.16,0.06,6.237632213702534,6.237071901
428066.81,4581377.89,50.3,0.2,6.237457680777335,6.476141174
428066.8,4581377.9,50.52,0.42,6.237108614926935,6.741970561
428066.78,4581377.92,50.81,0.71,6.237108614926935,6.972389932
428066.77,4581377.92,51.16,1.06,6.237283147852136,7.201523455
428066.77,4581377.93,51.55,1.45,6.237283147852136,7.431772148
428066.76,4581377.94,51.98,1.88,6.237457680777335,7.664592653
428066.75,4581377.94,52.45,2.35,6.237457680777335,7.931585296
428066.74,4581377.95,52.93,2.83,6.237457680777335,8.167884287
428066.74,4581377.95,53.43,3.33,6.226462106489771,8.40558064
428066.73,4581377.96,53.94,3.84,6.226462106489771,8.641092923
428066.72,4581377.96,54.46,4.36,6.226462106489771,8.90783425
428066.72,4581377.98,54.99,4.89,6.22663663941497,9.139916332
428066.72,4581377.98,55.52,5.42,6.22663663941497,9.37059964
428066.72,4581377.98,56.06,5.96,6.22663663941497,9.600778921
428066.72,4581377.98,56.6,6.5,6.226462106489771,9.832737517
428066.71,4581377.98,57.13,7.03,6.226462106489771,10.099342406
428066.71,4581377.99,57.65,7.55,6.226462106489771,10.33484294
428066.71,4581377.99,58.13,8.03,6.22663663941497,10.572711113
428066.71,4581377.99,58.55,8.45,6.22663663941497,10.80720526
428066.7,4581377.99,58.91,8.81,6.22663663941497,11.040149346
428066.7,4581377.99,59.2,9.1,6.22663663941497,11.303984341
428066.7,4581377.99,59.42,9.32,6.226462106489771,11.534905815
