x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428848.41,4580698.3,50.1,0.0,6.234665153974144,0
428848.41,4580698.3,50.1,0.0,6.234665153974144,0.001411064
428848.41,4580698.3,50.16,0.06,6.23588688445054,6.002154442
428848.4,4580698.3,50.3,0.2,6.2355378186001404,6.269995016
428848.39,4580698.32,50.52,0.42,6.235363285674941,6.502784757
428848.38,4580698.33,50.82,0.72,6.235363285674941,6.735330309
428848.37,4580698.33,51.17,1.07,6.235363285674941,6.968974911
428848.36,4580698.34,51.57,1.47,6.2355378186001404,7.203601514
428848.36,4580698.36,52.0,1.9,6.2355378186001404,7.469934172
428848.35,4580698.36,52.46,2.36,6.235712351525341,7.701779993
428848.34,4580698.37,52.94,2.84,6.2355378186001404,7.935129756
428848.34,4580698.37,53.44,3.34,6.225938507714172,8.170344143
428848.34,4580698.37,53.95,3.85,6.225938507714172,8.404487894
428848.34,4580698.38,54.47,4.37,6.226113040639372,8.669454732
428848.33,4580698.38,55.0,4.9,6.226113040639372,8.901899807
428848.33,4580698.38,55.54,5.44,6.226113040639372,9.135705522
428848.32,4580698.39,56.08,5.98,6.226113040639372,9.370581405
428848.32,4580698.39,56.62,6.52,6.226113040639372,9.604082684
428848.31,4580698.39,57.15,7.05,6.226113040639372,9.869140268
428848.31,4580698.39,57.66,7.56,6.226113040639372,10.102673467
428848.31,4580698.39,58.14,8.04,6.226113040639372,10.336705586
428848.3,4580698.39,58.56,8.46,6.225938507714172,10.57002349
428848.3,4580698.4,58.93,8.83,6.225938507714172,10.802427861
428848.29,4580698.4,59.22,9.12,6.225938507714172,11.069983694
