x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428466.83,4581377.83,50.1,0.0,6.236235950300939,0
428466.83,4581377.83,50.1,0.0,6.236235950300939,0.004010149
428466.83,4581377.82,50.1,0.0,6.237108614926935,3.364728328
428466.84,4581377.82,50.1,0.0,6.237806746627735,5.788388061
428466.83,4581377.82,50.16,0.06,6.237632213702534,6.248109904
428466.82,4581377.83,50.3,0.2,6.237283147852136,6.480514729
428466.81,4581377.85,50.52,0.42,6.237108614926935,6.746491697
428466.79,4581377.87,50.81,0.71,6.237108614926935,6.979650073
428466.79,4581377.87,51.16,1.06,6.237108614926935,7.214392938
428466.78,4581377.88,51.55,1.45,6.237283147852136,7.450663762
428466.77,4581377.89,51.98,1.88,6.237457680777335,7.687217557
428466.76,4581377.89,52.45,2.35,6.237457680777335,7.955210012
428466.75,4581377.9,52.93,2.83,6.237457680777335,8.188386068
428466.75,4581377.9,53.43,3.33,6.226462106489771,8.419925395
428466.74,4581377.91,53.94,3.84,6.226462106489771,8.650295648
428466.74,4581377.91,54.46,4.36,6.226462106489771,8.914544068
428466.74,4581377.92,54.99,4.89,6.22663663941497,9.147912067
428466.74,4581377.92,55.52,5.42,6.22663663941497,9.3830785
428466.73,4581377.92,56.06,5.96,6.22663663941497,9.619237354
428466.73,4581377.92,56.6,6.5,6.226462106489771,9.85432622
428466.72,4581377.92,57.13,7.03,6.226462106489771,10.12068343
428466.72,4581377.92,57.65,7.55,6.226462106489771,10.352878332
428466.72,4581377.94,58.13,8.03,6.226462106489771,10.585226038
428466.72,4581377.94,58.55,8.45,6.22663663941497,10.815525611
428466.71,4581377.94,58.91,8.81,6.22663663941497,11.047457119
428466.71,4581377.94,59.2,9.1,6.22663663941497,11.314058619
428466.71,4581377.94,59.42,9.32,6.22663663941497,11.549527027
