20m, 60m, 120m
0.4578096948,	0.5283154122,	0.8542704626
0.478994614,	0.479390681,	0.7761565836
0.5005385996,	0.4840501792,	0.7608540925
0.3892280072,	0.4035842294,	0.606405694
0.4443447038,	0.4544802867,	0.7012455516
0.3725314183,	0.3277777778,	0.4823843416
0.4748653501,	0.4220430108,	0.6172597865
0.2912028725,	0.2646953405,	0.4596085409
0.4272890485,	0.4449820789,	0.5765124555
0.3129263914,	0.24390681,     0.4306049822
