20m, 60m, 120m
0.4618018018,	0.5327956989,	0.856405694
0.4825225225,	0.4797491039,	0.7772241993
0.5048648649,	0.4883512545,	0.7631672598
0.3906306306,	0.4028673835,	0.6122775801
0.4457657658,	0.4605734767,	0.7039145907
0.3796396396,	0.3318996416,	0.4898576512
0.4861261261,	0.4286738351,	0.625088968
0.2942342342,	0.2652329749,	0.465658363
0.4338738739,	0.4580645161,	0.5854092527
0.3254054054,	0.2510752688,	0.4400355872
