x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428900.65,4580769.58,110.1,0.0,6.231349028395356,0
428900.65,4580769.58,110.1,0.0,6.231349028395356,0.203810016
428900.66,4580769.58,110.1,0.0,6.231523561320555,0.668781744
428900.66,4580769.58,110.15,0.05,6.232570758871751,6.90281023
428900.65,4580769.58,110.29,0.19,6.232396225946551,7.136898906
428900.64,4580769.59,110.52,0.42,6.2322216930213505,7.403055234
428900.64,4580769.6,110.81,0.71,6.2322216930213505,7.636339015
428900.63,4580769.6,111.16,1.06,6.2322216930213505,7.870171946
428900.62,4580769.6,111.56,1.46,6.2322216930213505,8.103154967
428900.61,4580769.61,112.0,1.9,6.232396225946551,8.336879027
428900.61,4580769.61,112.46,2.36,6.232396225946551,8.603214402
428900.6,4580769.62,112.94,2.84,6.232396225946551,8.836591254
428900.6,4580769.62,113.43,3.33,6.225414908938574,9.069755712
428900.59,4580769.62,113.94,3.84,6.225414908938574,9.303643498
428900.59,4580769.63,114.46,4.36,6.225414908938574,9.536740772
428900.59,4580769.63,114.99,4.89,6.225414908938574,9.80305806
428900.59,4580769.63,115.53,5.43,6.225414908938574,10.036824415
428900.59,4580769.65,116.07,5.97,6.225414908938574,10.269812906
428900.59,4580769.65,116.61,6.51,6.225414908938574,10.50332222
428900.59,4580769.65,117.14,7.04,6.225414908938574,10.73669093
428900.59,4580769.65,117.65,7.55,6.225414908938574,11.003043768
428900.58,4580769.66,118.13,8.03,6.225414908938574,11.2367386
428900.58,4580769.66,118.55,8.45,6.225414908938574,11.469805605
428900.57,4580769.66,118.92,8.82,6.225414908938574,11.703769584
428900.57,4580769.66,119.21,9.11,6.225414908938574,11.93657496
