x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428938.41,4580698.48,110.1,0.0,6.2339670222733465,0
428938.41,4580698.48,110.1,0.0,6.2339670222733465,0.162878192
428938.42,4580698.48,110.1,0.0,6.234490621048944,2.096405741
428938.42,4580698.48,110.15,0.05,6.2351887527497425,5.929149602
428938.41,4580698.49,110.29,0.19,6.235014219824543,6.162788991
428938.39,4580698.51,110.52,0.42,6.2348396868993445,6.396095047
428938.38,4580698.52,110.81,0.71,6.234665153974144,6.629332251
428938.38,4580698.52,111.16,1.06,6.234665153974144,6.895988823
428938.38,4580698.53,111.55,1.45,6.2348396868993445,7.129349828
428938.37,4580698.53,111.99,1.89,6.2348396868993445,7.362808647
428938.36,4580698.54,112.45,2.35,6.2348396868993445,7.596154295
428938.35,4580698.55,112.94,2.84,6.2348396868993445,7.829230697
428938.34,4580698.55,113.44,3.34,6.226113040639372,8.095990379
428938.34,4580698.55,113.94,3.84,6.226113040639372,8.329353793
428938.33,4580698.55,114.46,4.36,6.226113040639372,8.562650391
428938.33,4580698.55,114.99,4.89,6.226113040639372,8.796005538
428938.33,4580698.55,115.52,5.42,6.226113040639372,9.029605773
428938.33,4580698.56,116.06,5.96,6.226113040639372,9.295766729
428938.33,4580698.56,116.61,6.51,6.226113040639372,9.529656918
428938.33,4580698.56,117.15,7.05,6.226113040639372,9.762552842
428938.32,4580698.56,117.66,7.56,6.226113040639372,9.996271716
428938.32,4580698.57,118.14,8.04,6.226113040639372,10.22919311
428938.32,4580698.57,118.56,8.46,6.226113040639372,10.496113439
428938.32,4580698.57,118.92,8.82,6.226113040639372,10.729340598
428938.32,4580698.57,119.21,9.11,6.226113040639372,10.962381275
428938.32,4580698.57,119.43,9.33,6.226113040639372,11.196552579
428938.31,4580698.57,119.6,9.5,6.226113040639372,11.429438374
428938.31,4580698.57,119.72,9.62,6.226113040639372,11.695894632
428938.31,4580698.57,119.81,9.71,6.226113040639372,11.929588708
428938.31,4580698.58,119.87,9.77,6.226113040639372,12.162776211
