x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
429167.93,4580868.22,20.0,0.0,6.227509304040966,0
429167.93,4580868.22,20.0,0.0,6.227509304040966,0.032031503
429167.93,4580868.22,19.99,0.0,6.227858369891366,2.897783977
429167.93,4580868.22,20.01,0.02,6.228207435741766,5.330251438
429167.93,4580868.22,20.03,0.04,6.228207435741766,5.56390135
429167.93,4580868.22,20.05,0.06,6.228207435741766,5.798748826
429167.93,4580868.22,20.08,0.09,6.228381968666964,6.03238636
429167.93,4580868.22,20.12,0.13,6.228207435741766,6.264613388
429167.93,4580868.22,20.23,0.24,6.228207435741766,6.530312211
429167.93,4580868.23,20.43,0.44,6.228032902816566,6.766595829
429167.92,4580868.23,20.71,0.72,6.227858369891366,6.998148243
429167.91,4580868.23,21.05,1.06,6.228032902816566,7.229947509
429167.91,4580868.23,21.44,1.45,6.228032902816566,7.463630824
429167.9,4580868.24,21.87,1.88,6.228207435741766,7.731862175
429167.9,4580868.24,22.33,2.34,6.228207435741766,7.966380705
429167.89,4580868.25,22.81,2.82,6.228032902816566,8.199272127
429167.89,4580868.25,23.31,3.32,6.224367711387377,8.431035906
429167.88,4580868.25,23.83,3.84,6.224367711387377,8.664147901
429167.88,4580868.25,24.35,4.36,6.224367711387377,8.9319319
429167.88,4580868.26,24.88,4.89,6.224542244312577,9.166003301
429167.88,4580868.25,25.41,5.42,6.224542244312577,9.398546703
429167.88,4580868.25,25.95,5.96,6.224542244312577,9.632508055
429167.88,4580868.25,26.49,6.5,6.224542244312577,9.86501979
429167.88,4580868.25,27.02,7.03,6.224542244312577,10.130668807
429167.88,4580868.25,27.53,7.54,6.224542244312577,10.366379848
429167.88,4580868.26,28.02,8.03,6.224542244312577,10.599006303
429167.88,4580868.26,28.44,8.45,6.224542244312577,10.831510448
429167.88,4580868.26,28.81,8.82,6.224542244312577,11.063883869
429167.88,4580868.26,29.1,9.11,6.224542244312577,11.330882091
