x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
678477.48,4461637.86,20.0,0.0,6.218782657780995,0
678477.48,4461637.86,20.0,0.0,6.218782657780995,0.004076856
678477.48,4461637.86,19.99,0.0,6.219306256556595,2.675621537
678477.48,4461637.86,20.0,0.01,6.2198298553321925,5.070746708
678477.48,4461637.86,20.02,0.03,6.2198298553321925,5.30266265
678477.48,4461637.86,20.05,0.06,6.220004388257391,5.536696684
678477.48,4461637.86,20.07,0.08,6.220004388257391,5.772480576
678477.48,4461637.86,20.1,0.11,6.220004388257391,6.005994096
678477.48,4461637.86,20.19,0.2,6.220004388257391,6.270881705
678477.47,4461637.86,20.37,0.38,6.2198298553321925,6.504240781
678477.46,4461637.87,20.63,0.64,6.2198298553321925,6.738783481
678477.46,4461637.87,20.96,0.97,6.2198298553321925,6.972240137
678477.46,4461637.87,21.34,1.35,6.2198298553321925,7.204645994
678477.45,4461637.87,21.76,1.77,6.2198298553321925,7.474913915
678477.45,4461637.87,22.21,2.22,6.2198298553321925,7.707423411
678477.45,4461637.87,22.69,2.7,6.2198298553321925,7.937536118
678477.45,4461637.87,23.18,3.19,6.22663663941497,8.168921818
678477.44,4461637.88,23.68,3.69,6.226462106489771,8.402025801
678477.44,4461637.88,24.2,4.21,6.226462106489771,8.670028019
678477.43,4461637.88,24.74,4.75,6.226462106489771,8.906327401
678477.43,4461637.89,25.27,5.28,6.226462106489771,9.141399497
678477.43,4461637.89,25.82,5.83,6.226462106489771,9.374691269
678477.43,4461637.89,26.36,6.37,6.226462106489771,9.606783854
678477.43,4461637.89,26.89,6.9,6.226462106489771,9.879584371
678477.43,4461637.9,27.41,7.42,6.226462106489771,10.108945145
678477.43,4461637.9,27.9,7.91,6.226462106489771,10.33768567
678477.43,4461637.89,28.34,8.35,6.226462106489771,10.56844648
678477.43,4461637.89,28.72,8.73,6.226462106489771,10.800404451
678477.42,4461637.9,29.04,9.05,6.226462106489771,11.067192717
678477.42,4461637.9,29.28,9.29,6.226462106489771,11.302564411
678477.42,4461637.9,29.46,9.47,6.226462106489771,11.539812266
678477.42,4461637.9,29.58,9.59,6.226462106489771,11.776609524
678477.42,4461637.9,29.67,9.68,6.226462106489771,12.045030428
