x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
430359.38,4580240.22,10.0,0.0,6.234141555198546,0
430359.38,4580240.22,10.0,0.0,6.234141555198546,0.013100067
430359.39,4580240.22,10.0,0.0,6.2343160881237445,1.244420089
430359.39,4580240.22,10.01,0.01,6.235363285674941,5.313347299
430359.39,4580240.22,10.04,0.04,6.235363285674941,5.547333447
430359.39,4580240.22,10.06,0.06,6.235363285674941,5.779990569
430359.39,4580240.22,10.09,0.09,6.2355378186001404,6.046592494
430359.39,4580240.22,10.15,0.15,6.235363285674941,6.280675545
430359.38,4580240.22,10.29,0.29,6.235014219824543,6.513154566
430359.36,4580240.24,10.52,0.52,6.2348396868993445,6.746209208
430359.35,4580240.26,10.82,0.82,6.2348396868993445,6.980639209
430359.35,4580240.26,11.18,1.18,6.2348396868993445,7.246935177
430359.34,4580240.27,11.59,1.59,6.2351887527497425,7.479588611
430359.32,4580240.28,12.03,2.03,6.2351887527497425,7.713855967
430359.32,4580240.28,12.5,2.5,6.2351887527497425,7.947012881
430359.31,4580240.29,12.98,2.98,6.2351887527497425,8.18007122
430359.31,4580240.29,13.49,3.49,6.225414908938574,8.444343729
430359.31,4580240.3,14.01,4.01,6.225414908938574,8.678137335
430359.31,4580240.3,14.53,4.53,6.225414908938574,8.913380734
430359.3,4580240.3,15.07,5.07,6.225414908938574,9.148064347
430359.3,4580240.3,15.6,5.6,6.225589441863773,9.38149183
430359.3,4580240.3,16.14,6.14,6.225589441863773,9.646440083
430359.3,4580240.3,16.68,6.68,6.225589441863773,9.878298176
430359.3,4580240.31,17.21,7.21,6.225589441863773,10.112303285
430359.3,4580240.31,17.71,7.71,6.225414908938574,10.347221712
430359.29,4580240.31,18.17,8.17,6.225414908938574,10.581749454
430359.29,4580240.31,18.58,8.58,6.225414908938574,10.84712219
430359.29,4580240.31,18.92,8.92,6.225414908938574,11.079357499
430359.28,4580240.31,19.19,9.19,6.225414908938574,11.312662551
430359.28,4580240.32,19.39,9.39,6.225414908938574,11.547339045
