x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
430069.35,4580240.2,20.0,0.0,6.2276838369661665,0
430069.35,4580240.2,20.0,0.0,6.2276838369661665,0.007283763
430069.35,4580240.2,19.99,0.0,6.228207435741766,2.655542011
430069.35,4580240.19,20.01,0.02,6.228556501592164,5.048307217
430069.35,4580240.19,20.03,0.04,6.228556501592164,5.31744123
430069.35,4580240.2,20.05,0.06,6.228556501592164,5.551407899
430069.35,4580240.2,20.08,0.09,6.228556501592164,5.783719093
430069.35,4580240.2,20.12,0.13,6.228556501592164,6.014559603
430069.35,4580240.2,20.23,0.24,6.228381968666964,6.244443438
430069.34,4580240.2,20.43,0.44,6.228207435741766,6.508188583
430069.33,4580240.22,20.71,0.72,6.228032902816566,6.741042742
430069.33,4580240.22,21.05,1.06,6.228207435741766,6.975694461
430069.33,4580240.22,21.44,1.45,6.228207435741766,7.211851073
430069.32,4580240.22,21.87,1.88,6.228381968666964,7.448516317
430069.32,4580240.22,22.33,2.34,6.228381968666964,7.716327548
430069.32,4580240.23,22.81,2.82,6.228381968666964,7.94944538
430069.32,4580240.23,23.31,3.32,6.224542244312577,8.180912005
430069.32,4580240.24,23.83,3.84,6.224367711387377,8.411494875
430069.31,4580240.24,24.35,4.36,6.224367711387377,8.643238819
430069.31,4580240.24,24.87,4.88,6.224542244312577,8.909790727
430069.31,4580240.24,25.41,5.42,6.224542244312577,9.145093045
430069.31,4580240.24,25.95,5.96,6.224716777237777,9.381189339
430069.31,4580240.25,26.49,6.5,6.224716777237777,9.615701045
430069.31,4580240.25,27.02,7.03,6.224542244312577,9.848713303
430069.31,4580240.25,27.54,7.55,6.224542244312577,10.112569317
430069.3,4580240.25,28.02,8.03,6.224542244312577,10.344456919
430069.3,4580240.25,28.44,8.45,6.224542244312577,10.577678473
430069.3,4580240.25,28.8,8.81,6.224542244312577,10.812613581
430069.29,4580240.25,29.09,9.1,6.224542244312577,11.047846651
