x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
430139.36,4580240.24,20.0,0.0,6.2276838369661665,0
430139.36,4580240.24,20.0,0.0,6.2276838369661665,0.00655194
430139.36,4580240.24,19.99,0.0,6.228207435741766,2.654296293
430139.36,4580240.23,20.01,0.02,6.228556501592164,5.040808617
430139.36,4580240.23,20.03,0.04,6.228556501592164,5.312424325
430139.36,4580240.24,20.05,0.06,6.228556501592164,5.549146933
430139.36,4580240.24,20.08,0.09,6.228556501592164,5.784217477
430139.36,4580240.24,20.12,0.13,6.228556501592164,6.017686938
430139.36,4580240.24,20.22,0.23,6.228381968666964,6.249548392
430139.35,4580240.24,20.43,0.44,6.228207435741766,6.512071659
430139.35,4580240.25,20.7,0.71,6.228032902816566,6.741738287
430139.35,4580240.25,21.04,1.05,6.228032902816566,6.973133138
430139.34,4580240.25,21.43,1.44,6.228207435741766,7.206088034
430139.34,4580240.25,21.86,1.87,6.228381968666964,7.440981595
430139.33,4580240.26,22.32,2.33,6.228381968666964,7.710629931
430139.33,4580240.26,22.8,2.81,6.228381968666964,7.947376844
430139.33,4580240.26,23.31,3.32,6.224542244312577,8.182518825
430139.32,4580240.27,23.82,3.83,6.224542244312577,8.416329616
430139.32,4580240.27,24.34,4.35,6.224542244312577,8.648233487
430139.32,4580240.27,24.86,4.87,6.224542244312577,8.911010138
430139.32,4580240.27,25.4,5.41,6.224542244312577,9.141678397
430139.32,4580240.27,25.94,5.95,6.224542244312577,9.374105743
430139.32,4580240.27,26.48,6.49,6.224542244312577,9.60809719
430139.32,4580240.27,27.01,7.02,6.224542244312577,9.843781364
430139.31,4580240.29,27.53,7.54,6.224542244312577,10.113691613
430139.31,4580240.29,28.01,8.02,6.224542244312577,10.348910952
430139.31,4580240.29,28.44,8.45,6.224542244312577,10.581986604
430139.3,4580240.29,28.8,8.81,6.224542244312577,10.813726328
430139.31,4580240.3,29.09,9.1,6.224542244312577,11.044355593
