x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
430209.4,4580240.23,110.1,0.0,6.240250207580526,0
430209.4,4580240.23,110.1,0.0,6.240250207580526,0.110192675
430209.41,4580240.23,110.1,0.0,6.241646470982121,5.851803068
430209.4,4580240.23,110.1,0.0,6.24182100390732,6.322012376
430209.4,4580240.23,110.11,0.01,6.24182100390732,6.593059406
430209.4,4580240.23,110.2,0.1,6.241646470982121,6.831487915
430209.39,4580240.24,110.37,0.27,6.241297405131723,7.068263017
430209.38,4580240.27,110.62,0.52,6.241122872206524,7.303461518
430209.35,4580240.28,110.93,0.83,6.241122872206524,7.536956619
430209.34,4580240.28,111.3,1.2,6.241297405131723,7.801485145
430209.33,4580240.3,111.71,1.61,6.241471938056922,8.031601679
430209.33,4580240.3,112.16,2.06,6.241471938056922,8.260609738
430209.32,4580240.31,112.63,2.53,6.241297405131723,8.491037887
430209.31,4580240.32,113.12,3.02,6.226811172340169,8.7231552
430209.3,4580240.32,113.62,3.52,6.226811172340169,8.989941588
430209.3,4580240.33,114.14,4.04,6.22698570526537,9.225563907
430209.29,4580240.33,114.66,4.56,6.22698570526537,9.462648034
430209.29,4580240.33,115.2,5.1,6.227160238190568,9.699192915
430209.28,4580240.33,115.73,5.63,6.22698570526537,9.967048748
430209.28,4580240.34,116.28,6.18,6.22698570526537,10.200262519
430209.28,4580240.34,116.82,6.72,6.226811172340169,10.431678905
430209.28,4580240.34,117.34,7.24,6.226811172340169,10.66176413
430209.28,4580240.34,117.84,7.74,6.226811172340169,10.892765418
430209.28,4580240.34,118.3,8.2,6.22698570526537,11.158353422
430209.28,4580240.34,118.7,8.6,6.22698570526537,11.392318034
430209.27,4580240.36,119.04,8.94,6.22698570526537,11.628044702
430209.27,4580240.36,119.31,9.21,6.22698570526537,11.864839305
430209.26,4580240.36,119.51,9.41,6.22698570526537,12.099950314
