x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
430109.39,4580240.14,110.1,0.0,6.234665153974144,0
430109.39,4580240.14,110.1,0.0,6.234665153974144,0.003933349
430109.39,4580240.14,110.16,0.06,6.2360614173757405,6.703877524
430109.38,4580240.14,110.3,0.2,6.235712351525341,6.935498074
430109.37,4580240.15,110.52,0.42,6.2355378186001404,7.200664713
430109.35,4580240.16,110.81,0.71,6.2355378186001404,7.434901262
430109.34,4580240.17,111.16,1.06,6.235712351525341,7.670003914
430109.34,4580240.19,111.55,1.45,6.235712351525341,7.903603395
430109.34,4580240.2,111.98,1.88,6.23588688445054,8.135739895
430109.33,4580240.2,112.45,2.35,6.23588688445054,8.400903592
430109.32,4580240.21,112.93,2.83,6.235712351525341,8.635031508
430109.31,4580240.21,113.43,3.33,6.225938507714172,8.87013852
430109.3,4580240.22,113.94,3.84,6.226113040639372,9.103694823
430109.3,4580240.22,114.46,4.36,6.226113040639372,9.335841052
430109.3,4580240.22,114.98,4.88,6.226113040639372,9.601052037
430109.3,4580240.23,115.52,5.42,6.226287573564571,9.836551429
430109.3,4580240.23,116.06,5.96,6.226113040639372,10.075459497
430109.29,4580240.23,116.61,6.51,6.226113040639372,10.307560355
430109.29,4580240.23,117.14,7.04,6.226113040639372,10.536639607
430109.28,4580240.23,117.66,7.56,6.226113040639372,10.799113316
430109.28,4580240.23,118.14,8.04,6.226113040639372,11.031367891
430109.28,4580240.24,118.56,8.46,6.226113040639372,11.266198859
430109.27,4580240.24,118.92,8.82,6.226113040639372,11.502041916
430109.27,4580240.24,119.21,9.11,6.226113040639372,11.739044382
430109.27,4580240.24,119.43,9.33,6.226113040639372,12.006756818
