20m, 60m, 120m
0.3066427289,	0.3783154122,	0.768683274
0.3922800718,	0.3930107527,	0.7804270463
0.3262118492,	0.2878136201,	0.6556939502
0.2908438061,	0.3130824373,	0.6395017794
0.2247755835,	0.2682795699,	0.5866548043
0.3301615799,	0.2707885305,	0.5236654804
0.2793536804,	0.2172043011,	0.4985765125
0.2673249551,	0.2401433692,	0.4886120996
0.2213644524,	0.2641577061,	0.4379003559
0.3136445242,	0.2367383513,	0.4409252669
