20m, 60m, 120m
0.3064631957,	0.3777777778,	0.7672597865
0.3910233393,	0.3899641577,	0.7836298932
0.3256732496,	0.2901433692,	0.6578291815
0.2946140036,	0.3132616487,	0.6430604982
0.2269299820,	0.2713261649,	0.5919928826
0.3324955117,	0.2722222222,	0.5243772242
0.2831238779,	0.2193548387,	0.5069395018
0.2745062837,	0.2406810036,	0.4951957295
0.2254937163,	0.2709677419,	0.4476868327
0.3228007181,	0.2419354839,	0.4542704626
