x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
431175.42,4580828.97,50.1,0.0,6.233617956422947,0
431175.42,4580828.97,50.1,0.0,6.233617956422947,8.73976E-4
431175.42,4580828.97,50.15,0.05,6.2348396868993445,6.457694293
431175.42,4580828.98,50.29,0.19,6.234665153974144,6.692573277
431175.4,4580828.99,50.51,0.41,6.234490621048944,6.962562907
431175.39,4580829.01,50.81,0.71,6.234490621048944,7.200879107
431175.38,4580829.01,51.15,1.05,6.234490621048944,7.438956462
431175.37,4580829.02,51.55,1.45,6.234665153974144,7.681613015
431175.37,4580829.02,51.98,1.88,6.234665153974144,7.915178681
431175.36,4580829.03,52.44,2.34,6.234665153974144,8.180628726
431175.36,4580829.03,52.92,2.82,6.234665153974144,8.411830058
431175.35,4580829.04,53.43,3.33,6.225938507714172,8.64042781
431175.34,4580829.04,53.94,3.84,6.225938507714172,8.868358829
431175.34,4580829.05,54.46,4.36,6.226113040639372,9.097961617
431175.34,4580829.05,54.99,4.89,6.226113040639372,9.361512162
431175.33,4580829.05,55.53,5.43,6.226113040639372,9.593768449
431175.33,4580829.05,56.07,5.97,6.226113040639372,9.82753093
431175.33,4580829.05,56.61,6.51,6.226113040639372,10.062853454
431175.32,4580829.05,57.14,7.04,6.225938507714172,10.3005734
431175.32,4580829.05,57.65,7.55,6.225938507714172,10.571532103
431175.32,4580829.05,58.13,8.03,6.226113040639372,10.807501261
431175.32,4580829.06,58.56,8.46,6.226113040639372,11.041630187
431175.32,4580829.06,58.93,8.83,6.226113040639372,11.273692007
431175.32,4580829.06,59.22,9.12,6.226113040639372,11.50439328
