x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
431225.41,4580828.85,50.1,0.0,6.233617956422947,0
431225.41,4580828.85,50.1,0.0,6.233617956422947,0.141333195
431225.42,4580828.85,50.1,0.0,6.2343160881237445,3.274267811
431225.42,4580828.85,50.16,0.06,6.2348396868993445,6.143947053
431225.41,4580828.86,50.3,0.2,6.234665153974144,6.407298255
431225.39,4580828.87,50.53,0.43,6.234490621048944,6.639467992
431225.38,4580828.89,50.82,0.72,6.234490621048944,6.873192146
431225.38,4580828.89,51.18,1.08,6.234490621048944,7.10862843
431225.37,4580828.9,51.58,1.48,6.234490621048944,7.349805503
431225.36,4580828.9,52.01,1.91,6.234490621048944,7.620845877
431225.35,4580828.91,52.47,2.37,6.234490621048944,7.852720719
431225.34,4580828.91,52.96,2.86,6.234490621048944,8.082886767
431225.34,4580828.92,53.45,3.35,6.225763974788972,8.313821887
431225.33,4580828.92,53.97,3.87,6.225763974788972,8.542232627
431225.33,4580828.92,54.49,4.39,6.225938507714172,8.803997915
431225.33,4580828.93,55.02,4.92,6.225938507714172,9.03531671
431225.33,4580828.93,55.56,5.46,6.225938507714172,9.271864058
431225.32,4580828.93,56.1,6.0,6.225763974788972,9.506502637
431225.32,4580828.93,56.64,6.54,6.225763974788972,9.742053292
431225.32,4580828.93,57.17,7.07,6.225763974788972,10.012189276
431225.32,4580828.93,57.68,7.58,6.225763974788972,10.247871833
431225.31,4580828.93,58.16,8.06,6.225938507714172,10.481776735
431225.31,4580828.93,58.58,8.48,6.225763974788972,10.713914639
431225.31,4580828.94,58.94,8.84,6.225763974788972,10.944836172
431225.31,4580828.94,59.24,9.14,6.225763974788972,11.208377948
431225.3,4580828.94,59.45,9.35,6.225938507714172,11.440924996
