x(m),y(m),z(m),zRelative(m),heading(rad),t(s)
428266.8,4581378.01,10.0,0.0,6.237981279552933,0
428266.8,4581378.01,10.0,0.0,6.237981279552933,0.060227743
428266.81,4581378.01,10.0,0.0,6.238155812478133,0.328353225
428266.81,4581378.01,10.01,0.01,6.239377542954529,5.594191958
428266.81,4581378.01,10.03,0.03,6.239377542954529,5.827940939
428266.81,4581378.01,10.05,0.05,6.239552075879729,6.094250323
428266.81,4581378.01,10.08,0.08,6.239552075879729,6.327464575
428266.81,4581378.01,10.12,0.12,6.239552075879729,6.561059629
428266.8,4581378.02,10.22,0.22,6.239377542954529,6.79445675
428266.79,4581378.04,10.42,0.42,6.23902847710413,7.027700195
428266.76,4581378.05,10.69,0.69,6.2388539441789295,7.294450369
428266.76,4581378.06,11.03,1.03,6.23902847710413,7.527522465
428266.75,4581378.06,11.42,1.42,6.23902847710413,7.761180571
428266.74,4581378.07,11.85,1.85,6.239203010029329,7.994319703
428266.73,4581378.08,12.31,2.31,6.239203010029329,8.230159939
428266.72,4581378.09,12.79,2.79,6.23902847710413,8.49626209
428266.72,4581378.09,13.28,3.28,6.226811172340169,8.727384206
428266.72,4581378.1,13.79,3.79,6.22698570526537,8.959510405
428266.71,4581378.11,14.31,4.31,6.22698570526537,9.193393317
428266.71,4581378.11,14.84,4.84,6.227160238190568,9.42895922
428266.7,4581378.11,15.38,5.38,6.227160238190568,9.694975755
428266.7,4581378.11,15.92,5.92,6.227160238190568,9.926641162
428266.7,4581378.11,16.47,6.47,6.22698570526537,10.160012756
428266.7,4581378.11,17.0,7.0,6.22698570526537,10.394918748
428266.7,4581378.13,17.51,7.51,6.22698570526537,10.629148958
428266.7,4581378.13,17.99,7.99,6.22698570526537,10.894438181
428266.69,4581378.13,18.42,8.42,6.22698570526537,11.127019984
428266.69,4581378.13,18.79,8.79,6.22698570526537,11.36142042
428266.69,4581378.13,19.09,9.09,6.22698570526537,11.595370671
